,弹幕,会员等级,发布时间,弹幕点赞,弹幕id
0,第一,6,10,11,6714500558385344716
0,我第一？,5,12,21,6714500638135483235
0,第二,6,14,15,6714500812191068812
0,第一第一，哈哈哈,0,12,54,6714500828452027533
0,来了,0,10,3,6714500872942362978
0,第一第一,0,10,65,6714500876146775363
0,来了来了,0,10,20,6714500918282800212
0,喜欢你不准时的样子,0,10,45,6714501042478972431
0,提前了！喜欢不守时！,5,11,135,6714500999232556852
0,果然提前了，时长好评！,0,10,10,6714500980983450821
0,7.49,0,12,4,6714501089804668301
0,喜欢不准时,0,12,25,6714501098180682472
0,50报道  50报道,0,14,94,6714501146721326874
0,先看结尾,0,14,32,6714501259672974758
0,早啊～,5,13,57,6714501347049406803
0,就喜欢鹅厂的不准时,0,14,34,6714501347333928519
0,早更了？。,0,11,50,6714501417220112861
0,都是会员，大家嚣张点嘛,0,14,20,6714501365101691253
0,来了来了19:50,0,12,22,6714501464184038759
0,第一？么有吧,0,12,6,6714501522505800101
0,C才78条弹幕,0,10,9,6714501476505909043
0,第一！,0,11,15,6714501627346665784
0,我才是第一,0,10,11,6714501651328332382
0,哈哈哈哈，终于前排了,0,13,64,6714501653782000224
0,阿这，这么早是我没想到的,0,14,9,6714501630138708528
0,哈哈哈哈哈哈哈哈提前好久,0,14,2,6714501695193720585
0,就知道,0,13,17,6714501902160640180
0,哦哦哦哦哦,0,13,11,6714501991993898189
0,第几？？,0,14,1,6714502014144379692
0,时长好评,0,12,6,6714502063541388964
0,11,0,12,0,6714502367414788057
0,很好很好很好,0,11,17,6714502413904185624
0,来啦来啦,0,13,7,6714502469612931448
0,来啦,0,13,0,6714502461643753825
0,来了来了第一,0,11,13,6714502562806476110
0,来了来了，第一,0,11,4,6714502870722876270
0,不准时，做不了第一了,3,13,9,6714503230467371959
0,大家早啊,0,13,3,6714503534647693137
0,1,0,11,0,6714503782680686996
0,来了集美们！,0,11,1,6714503865774043701
0,居然显示没有弹幕！！！,5,26,91,6714500699871785068
0,噢耶,4,27,0,6714500896596884740
0,i,6,25,1,6714501287040808407
0,谁是冠军,0,26,10,6714501321040842512
0,50就能看了,1,28,46,6714501506688120676
0,第三？,3,29,17,6714501527177986722
